country	union_density	left_government	labor_force_size	econ_conc
Sweden	82.4	111.84	3,931	1.55
Israel	80.0	73.17	997	1.71
Iceland	74.3	17.25	81	2.06
Finland	73.3	59.33	2,034	1.56
Belgium	71.9	43.25	3,348	1.52
Denmark	69.8	90.24	2,225	1.52
Ireland	68.1	.00	886	1.75
Austria	65.6	48.67	2,469	1.53
New Zealand	59.4	60.00	1,050	1.64
Norway	58.9	83.08	1,657	1.58
Australia	51.4	33.74	5,436	1.37
Italy	50.6	.00	15,819	.86
United Kingdon	48.0	43.67	25,757	1.13
Germany	39.6	35.33	23,003	.92
Netherlands	37.7	31.50	4,509	1.25
Switzerland	35.4	11.87	2,460	1.68
Canada	31.2	.00	10,516	1.35
Japan	31.0	1.92	39,930	1.11
France	28.2	8.67	18,846	.95
United States	24.5	.00	92,899	1.00
